id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
222887,"Bordeaux Terrace - amazing view, air-con, elevator",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83610153,-0.56639498,Entire home/apt,203,3,85,2024-01-22,0.57,4,265,21,3306300031048
247452,"Cosy apartment ,barbecue, pool",959918,Krista,Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles,44.8589,-0.72735,Entire home/apt,95,2,66,2024-03-01,0.45,1,151,11,
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84780121,-0.58104599,Entire home/apt,171,3,56,2024-02-21,0.48,4,229,15,33063001366CB
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83879852,-0.56887001,Entire home/apt,219,3,141,2024-03-14,0.96,4,200,33,33063001225CF
333031,STUDIO BORDEAUX TRIANGLE D OR ***** Climatisé,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84256,-0.57794,Entire home/apt,82,1,491,2024-03-08,3.37,2,326,54,3306300055979
344869,Cosy studio center of Bordeaux,1749523,Fabienne,Bordeaux,Centre ville (Bordeaux),44.84598,-0.5897,Entire home/apt,50,30,125,2022-07-14,0.85,4,234,0,330630072099C
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bgles,Bgles,44.81149,-0.55825,Entire home/apt,90,5,62,2024-02-23,0.43,2,291,6,
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85447,-0.582,Private room,31,2,343,2024-02-28,2.38,1,264,55,
457462,"BORDEAUX, swimming-pool, tennis !",2273643,Nadine,Talence,Talence,44.81099,-0.59954,Entire home/apt,75,7,26,2023-08-21,0.18,1,121,3,
457640,Appartement piscine tennis Bordeaux,2274580,Christine,Talence,Talence,44.80956,-0.5994,Entire home/apt,120,3,84,2023-08-31,0.59,1,250,7,
482102,Beautiful city house full comfort,2387430,Frederic,Le Bouscat,Le Bouscat,44.8542,-0.59581,Entire home/apt,250,2,456,2024-03-11,3.21,1,270,57,
500193,Bordeaux centre T3 60m2 avec jardin collectif,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83303,-0.56214,Entire home/apt,103,2,298,2024-03-05,2.13,2,262,29,3306300158754
545440,Loft with its private swimming pool,2680968,Jeanne,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85655,-0.57755,Entire home/apt,230,2,78,2023-09-18,0.55,1,168,5,3306300333887
599263,Bordeaux centre historique,2964570,Vincent,Bordeaux,Centre ville (Bordeaux),44.83856,-0.5751,Entire home/apt,137,2,130,2024-03-03,1.43,1,302,16,330630034253E
648539,"Location au mois avec bail, Bordeaux centre",3253952,Paul +  Sarah,Bordeaux,Bordeaux Sud,44.83265,-0.56627,Entire home/apt,29,365,43,2018-05-30,0.31,1,81,0,
667763,Charme au coeur du Vieux Bordeaux,3378979,Xavier,Bordeaux,Centre ville (Bordeaux),44.83745,-0.56935,Entire home/apt,103,30,165,2024-02-29,1.18,2,216,6,"Available with a mobility lease only (""bail mobilité"")"
670292,Appartement meublé 55m2 + terrasse,3396304,Françoise,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82809,-0.58822,Entire home/apt,70,3,26,2024-02-16,0.24,1,57,5,33063004439C4
675853,"Architect House, Bordeaux",3309367,Alice,Bordeaux,Bordeaux Sud,44.83354,-0.56405,Entire home/apt,96,120,19,2020-03-14,0.14,1,154,0,"Available with a mobility lease only (""bail mobilité"")"
709326,Chambre ds maison 1x1.40m ou 2x90m,3649476,Marc,Bordeaux,Caudran,44.83989,-0.61846,Private room,,2,1,2016-09-21,0.01,2,0,0,
724856,Room quiet - Bordeaux down town,3746923,Elisabeth,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83165,-0.59787,Private room,44,1,173,2024-03-13,1.29,2,111,41,3306300239194
776808,Stay in Lonely Planet's Pick  B&B | 330630003114E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.82429,-0.58376,Private room,121,2,3,2018-12-02,0.03,2,212,0,330630003114E
777417,Blue Lodge B&B | protected area | 330630003114E,4041434,Valérie,Bordeaux,Nansouty - Saint Gens,44.8258,-0.58508,Private room,123,2,12,2023-09-11,0.13,2,197,2,330630003114E
792947,Villa jacuzzi intérieur,4178213,David,Pessac,Magonty,44.79513,-0.70553,Entire home/apt,159,1,232,2024-02-25,1.92,2,360,36,
813125,La Bordelaise - table d'Hôtes et chambre,4273204,Alain,Cenon,Palmer-Gravires-Cavailles,44.86346,-0.51796,Private room,66,4,0,,,1,173,0,753 547 629 00018 - 5520 z
823341,"""The cherub"" - Historical center",4322810,Alexandre,Bordeaux,Bordeaux Sud,44.83281,-0.57152,Entire home/apt,,365,15,2014-10-28,0.11,1,0,0,
837713,"Near Bordeaux, in a house...",1909665,Gisèle Et Guy,Carbon-Blanc,Carbon-Blanc,44.90296,-0.50192,Private room,40,5,42,2023-10-30,0.32,2,351,3,
845788,Burdigala Homes - Apartment Street Porte Basse,4310833,Jean-Christophe,Bordeaux,Centre ville (Bordeaux),44.83642,-0.57658,Entire home/apt,130,2,76,2024-02-09,0.57,15,83,11,33063000665A2
845807,Apartment-de la Course 2 -Ensuite with Shower,4310833,Jean-Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85029,-0.57585,Entire home/apt,110,1,32,2023-08-27,0.25,15,141,3,330630011158E
845815,Apartment-de la Course 1-Ensuite with Shower,4310833,Jean-Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85234,-0.57523,Entire home/apt,110,1,38,2024-03-06,0.29,15,140,4,3306300111488
856891,Maison d'architecte de caractère,1924713,Jean-François,Bordeaux,Caudran,44.85946,-0.61238,Entire home/apt,393,2,93,2023-10-06,0.93,1,345,9,3306300088213
865244,"CLOS BAMBOO , Bungalow ensoleillé",4543023,Jean Guillaume,Merignac,La Glacire,44.82859,-0.61801,Entire home/apt,69,2,117,2024-03-19,0.88,1,88,11,1 1056
867488,"El Patio, hot tub from May to September",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83305,-0.57509,Entire home/apt,270,2,102,2023-07-25,0.78,8,90,5,33063000567A9
872870,Esprit Zen,4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83305,-0.57509,Entire home/apt,240,2,89,2023-10-08,0.68,8,63,6,33063000568AF
872948,"Dolce Vita, A soft life in Bordeaux",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83305,-0.57509,Entire home/apt,190,2,71,2022-08-13,0.55,8,114,0,330630005659D
872979,"Duo, small but smart flat for 2",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83305,-0.57509,Entire home/apt,66,2,42,2024-02-17,0.33,8,191,2,33063000566A3
878032,bed and breakfast,4639813,Isabelle,Pessac,France Alouette,44.78138,-0.68536,Private room,145,1,3,2023-10-29,0.03,3,292,1,
880024,"16 accommodated in the same place, in 4 flats",4561878,Béatrice & Sébastien,Bordeaux,Bordeaux Sud,44.83305,-0.57509,Entire home/apt,960,3,25,2019-03-10,0.19,8,134,0,33063000567A9
880178,"Gite ""Carlito"" (for 2 people).",4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.75465,-0.62296,Entire home/apt,51,2,40,2024-01-21,0.30,8,160,8,0000000000000
881775,Vacation Sebea' s House with Pool,4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.75465,-0.62296,Entire home/apt,,7,3,2022-08-27,0.02,8,0,0,
881940,"""Katalpa"" for +12 with Pool & Spa",4561878,Béatrice & Sébastien,Gradignan,Gradignan,44.75388,-0.6228,Entire home/apt,585,2,37,2023-12-17,0.29,8,159,7,1710
888556,CHAMBRE COSY AU CALME 1,992322,Edwige,Bordeaux,Caudran,44.84897,-0.60515,Private room,70,3,6,2022-09-23,0.05,1,365,0,
920432,LUMINEUX ET AGREABLE APPARTEMENT,4394250,Beatrice,Bordeaux,Nansouty - Saint Gens,44.81699,-0.56626,Entire home/apt,48,365,4,2018-03-31,0.04,1,365,0,
921237,séjournez chez Jean-francois,4951342,Jean-Francois,Talence,Talence,44.81942,-0.59304,Private room,37,7,29,2024-03-15,0.25,1,335,2,
939481,Chambre dans une maison avec jardin collectif,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83249,-0.56125,Private room,50,1,395,2024-03-21,2.94,2,267,56,
964043,City center and charm,2658645,Charlotte,Bordeaux,Centre ville (Bordeaux),44.84388,-0.57882,Entire home/apt,190,3,89,2024-02-18,0.94,2,22,21,330630012148D
981420,Tourny-Gambetta,2658645,Charlotte,Bordeaux,Centre ville (Bordeaux),44.84608,-0.58105,Private room,49,2,8,2024-03-01,0.12,2,46,1,330630012148D
1007407,TERRASSES SAINT PIERRE,5541484,Thierry D,Bordeaux,Centre ville (Bordeaux),44.84107,-0.5719,Entire home/apt,256,4,208,2023-10-04,1.59,1,79,19,33063003013E1
1013790,Maison avec piscine à Pessac,5576991,Agnès,Pessac,Le Bourg,44.804460166758254,-0.6371980625579164,Entire home/apt,150,2,2,2024-03-03,1.87,1,243,2,
1025361,Un havre de fraîcheur en ville | AC et piscine |,5113450,Lila,Merignac,La Glacire,44.8365,-0.62269,Private room,53,1,482,2024-01-25,4.64,1,160,51,Aucun
1043978,Bright flat in Historical center,5748061,Marion,Bordeaux,Bordeaux Sud,44.83413,-0.57048,Entire home/apt,,3,98,2022-08-21,0.74,1,0,0,3306300377474
1086736,Grande maison pleine de charme 230,3973708,Alexandra,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83172,-0.58355,Entire home/apt,259,365,132,2020-08-30,1.21,8,364,0,
1097322,"Large wooden house, July/August",5513545,Sophie,Bouliac,Bouliac,44.80774,-0.4983,Entire home/apt,360,5,1,2019-08-10,0.02,2,129,0,
1109000,Maison style colonial à Bordeaux,6088135,Veronique,Le Bouscat,Le Bouscat,44.86227,-0.59378,Entire home/apt,270,2,80,2024-03-17,0.76,1,250,22,
1109639,Loft 150m² avec piscine et climatisation BORDEAUX,6068524,Audrey,Bordeaux,Nansouty - Saint Gens,44.81363,-0.56646,Entire home/apt,281,7,20,2023-08-10,0.15,1,219,1,3306300544415
1117474,INCROYABLE T3 EN HYPERCENTRE,6133211,Crystel,Bordeaux,Centre ville (Bordeaux),44.83871,-0.56846,Entire home/apt,130,3,456,2024-03-04,3.45,1,99,56,330630009852A
