id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
56766,"Duplex avec vue, centre ville",269557,Isabelle,,5e Arrondissement,45.76312,4.82813,Entire home/apt,125,60,55,2023-10-29,0.34,1,210,1,"Available with a mobility lease only (""bail mobilité"")"
77104,Nice Flat in the center of Lyon,411285,Clementine,,1er Arrondissement,45.76842,4.82745,Entire home/apt,100,2,24,2023-10-07,0.15,1,75,2,6938113058353
134539,"Centre of old town,home sweet home",660135,Polali,,5e Arrondissement,45.7593,4.82548,Entire home/apt,80,2,132,2023-12-10,0.85,1,82,6,6938513221658
174304,Quartier Terreaux 4/6 pers. Hyper centre/Clim,832917,Giuseppina,,1er Arrondissement,45.76695,4.83241,Entire home/apt,201,2,429,2024-03-10,3.02,2,115,42,6938112368465
233372,Clear &very central flat Vieux Lyon,1221417,Max,,5e Arrondissement,45.75935,4.82228,Entire home/apt,52,2,316,2024-03-21,2.09,1,218,64,6938512680042
242183,"Pleasant studio, Monplaisir district, Lyon 3rd",1271050,Stéphane,,3e Arrondissement,45.74727,4.86683,Entire home/apt,77,31,33,2024-01-01,0.27,1,306,18,6938312354058
249711,very pleasant and located idealment,1308521,Anaïs,,7e Arrondissement,45.75207,4.83978,Entire home/apt,210,2,25,2023-10-07,0.17,2,354,2,D202109230976
251630,Studio apartment near opera city centre,1319577,Emmanuel,,1er Arrondissement,45.77047,4.834133,Entire home/apt,40,21,9,2024-02-28,0.09,1,170,5,6938113043606
298089,Le Duplex - Spacious triple room.,1221016,Romain,,3e Arrondissement,45.75775,4.87644,Private room,25,3,106,2023-12-01,0.72,1,9,2,
329950,Roomy and luminous apartment,1683652,NATHALIE Et ALAIN,,3e Arrondissement,45.7467,4.87099,Entire home/apt,75,2,25,2023-09-30,0.18,1,20,4,6938312655352
342674,"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",1738855,Amael Et Ida,,3e Arrondissement,45.75383,4.84758,Entire home/apt,155,1,326,2024-03-05,2.28,1,216,38,6938312360788
349150,Charming Flat in old Town center,1769157,Jacques,,5e Arrondissement,45.76401,4.82896,Entire home/apt,169,2,417,2022-04-16,2.86,1,229,0,6938513079326
365998,Studio situé au cœur historique de Lyon,1848025,Anne-Marie,,1er Arrondissement,45.76983,4.8293,Entire home/apt,76,3,200,2024-03-19,1.39,1,164,29,6938112647884
369303,"Independent room on terrace with trees, B&B,Garage",1862505,Jean François,,6e Arrondissement,45.76487,4.86761,Entire home/apt,50,2,468,2021-12-11,3.20,1,75,0,Exempt - hotel-type listing
387453,"in downtown LYON, your little PROVENCE",718463,"Lionel, Layla & Samuel",,1er Arrondissement,45.769253,4.829836,Entire home/apt,90,2,73,2024-02-22,0.50,1,0,5,6938112646993
416475,Cosy 2-bedroom flat at the heart of Lyon,2070908,Amy,,1er Arrondissement,45.76913,4.83567,Entire home/apt,,365,0,,,1,0,0,
551810,Charming rooftop house terrace and view Fourviere,2711663,Julie Et Michael,,2e Arrondissement,45.76489,4.8314,Entire home/apt,139,4,39,2022-06-11,0.36,1,68,0,6938112369158
593123,Belle chambre libre dans un T3,2928155,Fadel,,7e Arrondissement,45.74275,4.83755,Private room,,4,6,2015-01-16,0.05,1,0,0,
